,index,brand,colors,name,prices.isSale,MedianPrice
422,8184,TOMS,Black,Toms Women's Classic Moroccan Crochet Casual Shoe,FALSE,45.26
423,8185,TOMS,Black,Toms Women's Classic Moroccan Crochet Casual Shoe,FALSE,46.1
424,8186,TOMS,Black,Toms Women's Classic Moroccan Crochet Casual Shoe,FALSE,47.99
425,8187,TOMS,Black,Toms Women's Classic Moroccan Crochet Casual Shoe,FALSE,45.27
426,8197,Easy Spirit,White,Easy Spirit Manic Women W Open Toe Leather  Thong Sandal,TRUE,31.98
427,8198,Easy Spirit,White,Easy Spirit Manic Women W Open Toe Leather  Thong Sandal,TRUE,21.99
428,8199,Easy Spirit,White,Easy Spirit Manic Women W Open Toe Leather  Thong Sandal,FALSE,59.0
429,8200,Easy Spirit,White,Easy Spirit Manic Women W Open Toe Leather  Thong Sandal,TRUE,22.99
430,8277,Easy Spirit,Red,Easy Spirit Gannet   Round Toe Canvas  Espadrille,FALSE,16.97
431,8278,Easy Spirit,Red,Easy Spirit Gannet   Round Toe Canvas  Espadrille,TRUE,33.98
432,8279,Easy Spirit,Red,Easy Spirit Gannet   Round Toe Canvas  Espadrille,TRUE,23.99
433,8280,Easy Spirit,Red,Easy Spirit Gannet   Round Toe Canvas  Espadrille,FALSE,89.0
434,8281,Easy Spirit,Red,Easy Spirit Gannet   Round Toe Canvas  Espadrille,TRUE,22.99
435,8283,Easy Spirit,Brown,Easy Spirit Penzance Women  Round Toe Leather Brown Ankle Boot,TRUE,86.98
437,8285,Easy Spirit,Brown,Easy Spirit Penzance Women  Round Toe Leather Brown Ankle Boot,TRUE,78.99
438,8335,VANS,Blue,Vans Camden   Round Toe Canvas  Skate Shoe,FALSE,17.99
439,8344,Alfani,Black,Alfani Lyrra   Peep-toe Synthetic  Heels,FALSE,60.0
440,8345,Alfani,Black,Alfani Lyrra   Peep-toe Synthetic  Heels,TRUE,23.99
442,8493,MUK LUKS,Brown,Alicia Tall Cuff Boot,TRUE,79.2
443,8574,Marc Fisher,Beige,Marc Fisher Toby 3   Open Toe Synthetic  Platform Heel,TRUE,48.99
444,8575,Marc Fisher,Beige,Marc Fisher Toby 3   Open Toe Synthetic  Platform Heel,FALSE,15.99
445,8576,Marc Fisher,Beige,Marc Fisher Toby 3   Open Toe Synthetic  Platform Heel,FALSE,89.0
446,8646,New Balance,White,New Balance Wx409 Women  Round Toe Leather  Running Shoe,FALSE,32.99
448,8839,Style & Co.,Blue,Style & Co Radleyy Women  Open Toe Canvas Blue Wedge Heel,TRUE,24.99
449,8840,Style & Co.,Blue,Style & Co Radleyy Women  Open Toe Canvas Blue Wedge Heel,FALSE,49.0
